Genes	Description	Preferred_name
Mhon_001823	ATPase activity, coupled to transmembrane movement of substances	pgp-2
Mhon_001824	ATPase activity, coupled to transmembrane movement of substances	pgp-2
Mhon_001826	Glycosyltransferase that generates the core 1 O-glycan Gal-beta1-3GalNAc-alpha1-Ser Thr (T antigen), which is a precursor for many extended O-glycans in glycoproteins	-
Mhon_001827	Multidrug resistance protein	pgp-2
Mhon_001828	Glycosyltransferase that generates the core 1 O-glycan Gal-beta1-3GalNAc-alpha1-Ser Thr (T antigen), which is a precursor for many extended O-glycans in glycoproteins	-
Mhon_001832	Domain of unknown function (DUF4540)	-
Mhon_001833	peptidyl-tryptophan modification	-
Mhon_001840	iron assimilation by reduction and transport	-
Mhon_001841	iron assimilation by reduction and transport	-
Mhon_001875	nucleologenesis	RpI135
Mhon_001876	ATPase activity	abcf2
Mhon_001877	Uncharacterised protein family UPF0565	-
Mhon_001878	nucleologenesis	RpI135
Mhon_001880	-	-
Mhon_001891	Domain first found  in the mice T locus (Brachyury) protein	-
Mhon_001894	L-asparagine biosynthetic process	-
Mhon_001895	EF-hand calcium-binding domain-containing protein	-
Mhon_001900	Twist family bHLH transcription factor 2	twist
Mhon_001902	Twist family bHLH transcription factor 2	twist
Mhon_001905	Receptor	-
Mhon_001906	hydrolase activity	-
Mhon_001907	autophagic cell death	-
Mhon_001908	autophagic cell death	-
Mhon_001910	-	-
Mhon_001911	E3 ubiquitin-protein ligase	-
Mhon_001912	WWE domain	-
Mhon_001915	poly ADP-ribose polymerase	-
Mhon_001916	RAR-related orphan receptor B	Hr46
Mhon_001917	prostaglandin-E synthase activity	-
Mhon_001920	Glycosyltransferase that generates the core 1 O-glycan Gal-beta1-3GalNAc-alpha1-Ser Thr (T antigen), which is a precursor for many extended O-glycans in glycoproteins	-
Mhon_001923	Involved in autophagy and cytoplasm to vacuole transport (Cvt) vesicle formation. Plays a key role in the organization of the preautophagosomal structure phagophore assembly site (PAS), the nucleating site for formation of the sequestering vesicle	Atg9
Mhon_001924	Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family	-
Mhon_001929	structural constituent of ribosome	RpL37A
Mhon_001930	Zinc finger protein 622	-
Mhon_001933	Proteasome activator pa28 alpha subunit	-
Mhon_001935	endopeptidase inhibitor activity	-
Mhon_001936	serine-type endopeptidase inhibitor activity	-
Mhon_001939	Chromosome 10 open reading frame 67	-
Mhon_001941	SWI complex, BAF60b domains	Bap60
Mhon_001950	-	-
Mhon_001964	polypeptide N-acetylgalactosaminyltransferase activity	gly-5
Mhon_001968	AMP binding	-
Mhon_001969	beta-galactosidase activity	-
Mhon_001970	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	-
Mhon_001971	negative regulation of DNA damage response, signal transduction by p53 class mediator	-
Mhon_001972	regulation of protein catabolic process	Rpn3
Mhon_001974	Fibrinogen-related domains (FReDs)	-
Mhon_001976	mesenchymal-epithelial cell signaling involved in prostate gland development	-
Mhon_001977	regulation of protein catabolic process	Rpn3
Mhon_001978	Conserved hypothetical protein	-
Mhon_001979	Extracellular lectin functioning as a pattern- recognition receptor in innate immunity. Binds the sugar moieties of pathogen-associated molecular patterns (PAMPs) displayed on microbes and activates the lectin pathway of the complement system. May also activate monocytes through a G protein-coupled receptor, FFAR2, inducing the secretion of interleukin-8 IL-8. Binds preferentially to 9-O-acetylated 2-6-linked sialic acid derivatives and to various glycans containing sialic acid engaged in a 2-3 linkage (By similarity)	-
Mhon_001986	protein disulfide isomerase activity	C14B9.2
Mhon_001988	protein disulfide isomerase activity	C14B9.2
Mhon_002000	structural constituent of cuticle	-
Mhon_002005	subunit, beta	pbs-3
Mhon_002006	Belongs to the peptidase C14A family	-
Mhon_002011	potassium voltage-gated channel, subfamily H	-
Mhon_002023	Retinol binding protein receptor	-
Mhon_002027	protein O-linked glycosylation via threonine	-
Mhon_002028	RNA binding	-
Mhon_002031	phosphatase inhibitor activity	-
Mhon_002042	Ferritin receptor that mediates non-transferrin- dependent delivery of iron. Mediates cellular uptake of ferritin- bound iron by stimulating ferritin endocytosis from the cell surface with consequent iron delivery within the cell. Delivery of iron to cells by ferritin is required for the development of specific cell types, suggesting the existence of cell type- specific mechanisms of iron traffic in organogenesis, which alternatively utilize transferrin or non-transferrin iron delivery pathways	-
Mhon_002049	dimethylallyl diphosphate metabolic process	-
Mhon_002049	isopentenyl-diphosphate delta-isomerase activity	-
Mhon_002050	Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation	-
Mhon_002051	steroid hormone receptor activity	-
Mhon_002053	motile cilium assembly	-
Mhon_002055	mismatched DNA binding	MLH1
Mhon_002059	Heterodimerizes with Pms2 to form MutL alpha, a component of the post-replicative DNA mismatch repair system (MMR). DNA repair is initiated by MutS alpha (Msh2-Msh6) or MutS beta (Msh2-Msh6) binding to a dsDNA mismatch, then MutL alpha is recruited to the heteroduplex. Assembly of the MutL-MutS- heteroduplex ternary complex in presence of RFC and PCNA is sufficient to activate endonuclease activity of Pms2. It introduces single-strand breaks near the mismatch and thus generates new entry points for the exonuclease EXO1 to degrade the strand containing the mismatch. DNA methylation would prevent cleavage and therefore assure that only the newly mutated DNA strand is going to be corrected. MutL alpha (Mlh1-Pms2) interacts physically with the clamp loader subunits of DNA polymerase III, suggesting that it may play a role to recruit the DNA polymerase III to the site of the MMR. Also implicated in DNA damage signaling, a process which induces cell cycle arrest and can lead to apoptosis in case of major DNA damages. Heterodimerizes with Mlh3 to form MutL gamma which plays a role in meiosis (By similarity)	MLH1
Mhon_002061	alpha-amylase	-
Mhon_002062	alpha-amylase	-
Mhon_002064	Belongs to the short-chain dehydrogenases reductases (SDR) family	dhs-20
Mhon_002065	element modulator	crh-1
Mhon_002067	cytochrome P450	-
Mhon_002068	testosterone 6-beta-hydroxylase activity	-
Mhon_002069	cytochrome P450	-
Mhon_002070	Cytochrome P450, family 3, subfamily A, polypeptide	-
Mhon_002070	Cytochrome P450, family 3, subfamily A, polypeptide 4	-
Mhon_002075	ER overload response	ccdc-47
Mhon_002083	Solute carrier family 38, member 11	-
Mhon_002092	Protein of unknown function (DUF1295)	-
Mhon_002101	actin filament polymerization	-
Mhon_002102	actin filament polymerization	-
Mhon_002103	SREBP signaling pathway	scp-1
Mhon_002105	cAMP responsive element binding protein-like 2	-
Mhon_002106	-	-
Mhon_002108	-	-
Mhon_002109	Aldo/keto reductase family	-
Mhon_002112	omega-amidase activity	-
Mhon_002113	Enoyl-(Acyl carrier protein) reductase	-
Mhon_002114	base-excision repair, AP site formation via deaminated base removal	-
Mhon_002114	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine	-
Mhon_002116	lysosome localization	-
Mhon_002125	histone H4-K20 monomethylation	-
Mhon_002127	BNR repeat-like domain	-
Mhon_002132	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family	Myo1A
Mhon_002133	cyclin-dependent protein kinase 5 activator activity	Cdk5alpha
Mhon_002134	metalloaminopeptidase activity	-
Mhon_002134	zinc ion binding. It is involved in the biological process described with proteolysis	-
Mhon_002142	Golgin subfamily A member	-
Mhon_002155	negative regulation of cellular pH reduction	-
Mhon_002156	negative regulation of cellular pH reduction	-
Mhon_002162	negative regulation of cellular pH reduction	-
Mhon_002163	negative regulation of cellular pH reduction	-
Mhon_002178	G-protein coupled receptor activity	-
Mhon_002179	Zn_pept	-
Mhon_002185	Ceramide synthase 5	-
Mhon_002188	negative regulation of cardiac muscle contraction	-
Mhon_002189	Interferon-induced protein 44-like	-
Mhon_002190	Interferon-induced protein 44-like	-
Mhon_002192	Integrin beta subunits (N-terminal portion of extracellular region)	-
Mhon_002195	Integrin beta	pat-3
Mhon_002198	Integrin beta subunits (N-terminal portion of extracellular region)	-
Mhon_002203	integrin-mediated signaling pathway	pat-3
Mhon_002204	Integrin beta subunits (N-terminal portion of extracellular region)	-
Mhon_002205	Animal haem peroxidase	-
Mhon_002206	Animal haem peroxidase	-
Mhon_002213	Animal haem peroxidase	-
Mhon_002214	Animal haem peroxidase	-
Mhon_002215	Animal haem peroxidase	-
Mhon_002222	Protein tyrosine phosphatase, receptor type	-
Mhon_002228	decarboxylase	-
Mhon_002230	Flavin-binding monooxygenase-like	-
Mhon_002231	Uncharacterised protein family UPF0047	-
Mhon_002233	Uncharacterised protein family UPF0047	-
Mhon_002240	NACHT and WD repeat	-
Mhon_002242	Domain of unknown function (DUF4773)	-
Mhon_002245	methylmalonyl-CoA decarboxylase activity	-
Mhon_002247	cAMP biosynthetic process	acy-4
Mhon_002257	-	-
Mhon_002270	-	-
Mhon_002276	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain	-
Mhon_002282	Tigger transposable	-
Mhon_002315	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	MLH1
Mhon_002327	Integrase core domain	-
Mhon_002330	Mannosidase, beta A, lysosomal	-
Mhon_002332	chitin binding	-
Mhon_002333	response to amino acid starvation	mio
Mhon_002348	Belongs to the PI3 PI4-kinase family	-
Mhon_002350	heavy chain 8	-
Mhon_002352	integrin, beta	-
Mhon_002364	dyslexia susceptibility 1 candidate	-
Mhon_002370	deadenylation-dependent decapping of nuclear-transcribed mRNA	Patr-1
Mhon_002371	Belongs to the PI3 PI4-kinase family	fwd
Mhon_002379	motor activity	-
Mhon_002383	phospholipase D activity	-
Mhon_002385	-	-
Mhon_002387	Core histone H2A/H2B/H3/H4	-
Mhon_002389	-	-
Mhon_002392	-	-
Mhon_002397	-	-
Mhon_002398	Belongs to the cytochrome P450 family	-
Mhon_002399	Broad-Complex, Tramtrack and Bric a brac	-
Mhon_002402	Solute carrier family 25, member 26	-
Mhon_002403	cell division-associated protein bimb	-
Mhon_002413	Complement C1q-like protein	-
Mhon_002414	Common central domain of tyrosinase	-
Mhon_002417	tyrosinase	-
Mhon_002418	Complement component C1q domain.	-
Mhon_002420	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain	-
Mhon_002427	C-8 sterol isomerase activity	-
Mhon_002433	Interferon-induced protein 44-like	-
Mhon_002434	TLD	-
Mhon_002437	-	-
Mhon_002438	bromo domain	polybromo
Mhon_002439	chromatin binding	pbrm-1
Mhon_002440	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	-
Mhon_002442	glucose-6-phosphate dehydrogenase activity	Zw
Mhon_002445	negative regulation of L-glutamate import across plasma membrane	-
Mhon_002446	NEDD8 activating enzyme activity	Uba3
Mhon_002448	actin filament capping	-
Mhon_002453	Man1-Src1p-C-terminal domain	-
Mhon_002454	positive regulation of cardioblast proliferation	-
Mhon_002472	Bacterial extracellular solute-binding proteins, family 3	-
Mhon_002473	Ligand for members of the frizzled family of seven transmembrane receptors	Wnt5
Mhon_002474	Ligand for members of the frizzled family of seven transmembrane receptors	Wnt5
Mhon_002475	F-box LRR-repeat protein	-
Mhon_002476	histone deacetylase	hda-6
Mhon_002479	Interferon-induced protein 44-like	-
Mhon_002480	Interferon-induced protein 44-like	-
Mhon_002481	Interferon-induced protein 44-like	-
Mhon_002482	Interferon-induced protein 44-like	-
Mhon_002483	response to other organism	-
Mhon_002484	Interferon-induced protein 44-like	-
Mhon_002486	histone demethylase activity (H4-K20 specific)	-
Mhon_002487	PHD finger protein 8	-
Mhon_002492	retinal pigment epithelium development	-
Mhon_002493	Interferon-induced protein 44-like	-
Mhon_002495	response to other organism	-
Mhon_002496	Interferon-induced protein 44-like	-
Mhon_002499	Interferon-induced protein 44-like	-
Mhon_002501	Interferon-induced protein 44-like	-
Mhon_002502	Lytic polysaccharide mono-oxygenase, cellulose-degrading	-
Mhon_002504	Interferon-induced protein 44-like	-
Mhon_002509	It is involved in the biological process described with regulation of transcription, DNA-templated	-
Mhon_002521	Solute carrier family 35 member B4	-
Mhon_002523	Cyclin-dependent kinase	pct-1
Mhon_002524	telomeric loop formation	-
Mhon_002525	ribosomal protein S33	mRpS33
Mhon_002532	axoneme assembly	-
Mhon_002533	Transferase activity, transferring phosphorus-containing groups	-
Mhon_002537	SLIT-ROBO Rho	-
Mhon_002538	Family with sequence similarity 72 member	-
Mhon_002539	cilium movement involved in cell motility	-
Mhon_002540	cilium movement involved in cell motility	-
Mhon_002541	cilium movement involved in cell motility	-
Mhon_002543	ATP-binding cassette, subfamily F, member	-
Mhon_002544	Domain of unknown function (DUF4490)	-
Mhon_002546	Transmembrane protein adipocyte-associated 1	-
Mhon_002547	protection from non-homologous end joining at telomere	-
Mhon_002548	A Receptor for Ubiquitination Targets	-
Mhon_002561	metalloendopeptidase activity	-
Mhon_002564	Cystatin-like domain	-
Mhon_002565	Protein tyrosine phosphatase, receptor type	-
Mhon_002566	transmembrane receptor protein tyrosine phosphatase activity	-
Mhon_002566	Protein tyrosine phosphatase, receptor type	-
Mhon_002572	Inhibitor of Apoptosis domain	-
Mhon_002582	-	-
Mhon_002584	protein tyrosine phosphatase activity	-
Mhon_002589	Receptor-type tyrosine-protein phosphatase	-
Mhon_002593	Belongs to the small GTPase superfamily. Arf family	Arl6
Mhon_002594	Bromodomain transcription factors and PHD domain containing proteins	-
Mhon_002595	Serine threonine-protein kinase	ik2
Mhon_002595	Serine threonine-protein kinase TBK1	ik2
Mhon_002602	microtubule motor activity	-
Mhon_002605	Protein of unknown function (DUF1151)	-
Mhon_002609	V-type proton ATPase subunit	-
Mhon_002613	Ninjurin 1	-
Mhon_002615	Homeodomain	-
Mhon_002623	regulation of cell proliferation involved in mesonephros development	-
Mhon_002625	Protein kinase C conserved region 2 (CalB)	-
Mhon_002627	Protein transport protein Sec61 subunit alpha	Sec61alpha
Mhon_002628	Proposed core component of the chromatin remodeling Ino80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair	pont
Mhon_002629	-	ccdc146
Mhon_002630	major facilitator superfamily	-
Mhon_002631	protein palmitoleylation	por
Mhon_002632	protein palmitoleylation	por
Mhon_002639	synaptoporin	-
Mhon_002642	ELKS RAB6-interacting CAST family member	brp
Mhon_002644	DNA repair protein	-
Mhon_002645	Calcium ion binding	fbl-1
Mhon_002646	Lipoma HMGIC fusion partner-like 3	-
Mhon_002648	phosphoserine phosphatase activity	aay
Mhon_002649	peptidyl-prolyl cis-trans isomerase activity	Cypl
Mhon_002650	Methyltransferase domain	-
Mhon_002652	Methyltransferase domain	-
Mhon_002654	zinc ion binding	-
Mhon_002655	polysaccharide localization	-
Mhon_002656	Sulfotransferase activity. It is involved in the biological process described with carbohydrate biosynthetic process	-
Mhon_002664	Heat shock 70 kDa protein 12A-like	-
Mhon_002666	lysosomal microautophagy	-
Mhon_002666	Atg12 activating enzyme activity	-
Mhon_002672	negative regulation of insulin receptor signaling pathway	-
Mhon_002673	Heat shock 70 kDa protein 12A-like	-
Mhon_002674	protein dimerization activity	-
Mhon_002680	Heat shock 70 kDa protein 12A-like	-
Mhon_002681	Heat shock 70 kDa protein 12A-like	-
Mhon_002682	Heat shock 70 kDa protein 12A-like	-
Mhon_002683	Heat shock 70 kDa protein 12A-like	-
Mhon_002685	Heat shock 70 kDa protein 12A-like	-
Mhon_002686	ATP binding	-
Mhon_002687	Heat shock 70 kDa protein 12A-like	-
Mhon_002691	Heat shock 70 kDa protein 12A-like	-
Mhon_002692	Transcription factor	-
